"","fips","county_name","state_name","type","relative_mobility","absolute_upward_mobility","top1pc_share","gini","hhinc_mean2000","mean_commutetime2000","frac_coll_plus2000","foreign_share2010","med_hhinc1990","poor_share2000","share_black2000","share_white2000","share_hisp2000","share_asian2000","gsmn_math_g3_2013","rent_twobed2015","singleparent_share2000","traveltime15_2010","emp2000","mail_return_rate2010","ln_wage_growth_hs_grad","nonwhite_share2010","popdensity2000","ann_avg_job_growth_2004_2013","job_density_2013","stay_cz","leave_cz"
"648",17111,"McHenry","Illinois","metro",0.271,46.7,0.095,0.269,112193.77,34.361401,0.28049985,0.097621135,45167.64251902,0.036020759,0.0074114003,0.89486033,0.07511688,0.013900036,3.3474524,1109.6393,0.14709765,0.22848694,0.71576208,85.165169,0.025847618,0.1625081,431.18216,-0.00048548423,252.84993,0.6606,0.3394
"649",17113,"Mclean","Illinois","metro",0.362,42.7,0.106,0.346,87847.578,18.439716,0.38493434,0.052441318,32530.3505928538,0.1196349,0.065679379,0.87975681,0.024692709,0.02033465,3.7025154,823.90887,0.23753008,0.48382306,0.69358224,79.847527,-0.0028481716,0.18126224,127.12157,0.0064401845,72.885353,0.5458,0.4542
"650",17115,"Macon","Illinois","metro",0.431,39.5,0.124,0.436,71510.523,19.287701,0.16896363,0.020538438,31044.4071503747,0.12641388,0.14195682,0.83561343,0.0094650583,0.0057216012,2.5012164,678.49481,0.33246183,0.45958489,0.59033501,82.395821,0.10579122,0.21618156,197.5343,-0.0042700274,80.087616,0.5924,0.4076
"651",17117,"Macoupin","Illinois","metro",0.377,44.3,0.049,0.3,63489.75,29.069057,0.11868433,0.010185464,24191.4434339881,0.094033957,0.0092927022,0.97559416,0.0062296633,0.0015933578,3.0795014,605.37122,0.24801655,0.31893089,0.58822882,84.347237,0.036937758,0.030356955,56.806751,-0.0056209057,24.629509,0.6466,0.3534
"652",17119,"Madison","Illinois","metro",0.37,41.4,0.134,0.388,77029.172,26.071604,0.20162401,0.02189634,31928.9932241824,0.092140578,0.069146834,0.90086395,0.014734796,0.004988621,2.9530249,771.38879,0.27608645,0.30209342,0.61727947,83.12075,0.040997177,0.13282359,361.86462,-0.002128117,169.64349,0.6565,0.3435
"653",17121,"Marion","Illinois","micro",0.386,40.8,0.099,0.368,62928.449,20.697496,0.12036123,0.010480483,23496.6402891763,0.10945097,0.039614942,0.93786097,0.0087277843,0.0045374697,3.3633502,628.54456,0.30942363,0.40621275,0.58799571,86.580711,0.14504974,0.075588912,72.843628,-0.00040838876,28.462656,0.5874,0.4126
"654",17123,"Marshall","Illinois","metro",0.323,47.4,0.03,0.239,68889.68,26.428049,0.14434627,0.018444484,26579.0045350897,0.05579051,0.0048701768,0.97581577,0.010439483,0.0024781721,3.5164874,692.87677,0.20224719,0.34895238,0.62498719,85.822098,0.082028799,0.040506329,34.010269,-0.021086527,13.878367,0.6518,0.3482
"655",17125,"Mason","Illinois","rural",0.388,43.1,0.084,0.331,62867.816,30.619848,0.11202365,0.015666343,23171.8274916078,0.096727133,0.0017568473,0.98506892,0.0049995091,0.0013151803,2.5256989,644.28485,0.25654688,0.39960787,0.5610798,86.940582,0.1170603,0.025228431,29.74197,-0.017485395,11.123103,0.5928,0.4072
"656",17127,"Massac","Illinois","micro",0.354,41.4,0.083,0.389,57041.109,21.7255,0.10709777,0.0064563951,20206.7846524891,0.13498461,0.059188519,0.9213438,0.0081109935,0.0019872005,3.7916601,660.33801,0.26405677,0.37318161,0.56085211,81.745621,0.27268046,0.10169163,63.911674,-0.017286636,24.361557,0.7122,0.2878
"657",17129,"Menard","Illinois","metro",0.257,46.8,0.075,0.311,79218.773,28.90048,0.20317255,0.0028694901,29389.6871224787,0.081344835,0.0047226488,0.98026693,0.0076259323,0.0015499875,3.1296899,NA,0.235199,0.23462428,0.67816502,85.338142,0.050120268,0.030303048,39.708942,-0.0036960349,19.895815,0.5874,0.4126
